filename,category,synth,type,mood,index,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,centroid_mean,centroid_std,centroid_min,centroid_max,contrast_mean,contrast_std,rolloff_mean,rolloff_std,flatness_mean,flatness_std,zcr_mean,zcr_std,rms_mean,rms_std,rms_min,rms_max,bandwidth_mean,bandwidth_std,chroma_mean,chroma_std,tempo
amb_firetexture_tense004_.wav,amb,fire,texture,tense,004,-555.4545,58.536995,174.987,51.17508,93.38874,27.170029,39.250076,12.395616,20.520817,8.365416,19.7677,6.474171,16.670345,5.984683,9.907214,4.4338427,6.3770876,3.8631296,5.9501286,3.8889215,5.015154,3.9245305,3.4033217,3.5759988,2.9931648,3.5779586,338.2099674345092,398.93978572305866,0.0,4434.987175815194,13.089699403057088,3.883915385063135,354.8284629385218,620.1105069753398,0.05861359,0.23483542,0.0032855873211852862,0.002238677726730032,0.035962835,0.012530625,0.0,0.051044706,1178.774566647154,1079.805580303466,0.7202549,0.24762909,[143.5546875]
amb_firetexture_tense005_.wav,amb,fire,texture,tense,005,-552.0782,56.787483,187.55566,53.6687,91.46406,25.07491,30.89423,11.040773,17.009563,6.475717,19.578094,6.6516213,14.519241,5.3837814,7.4110503,4.2170234,5.6113286,3.8609626,5.5891986,3.7378576,3.6420302,3.32192,2.254294,3.1944737,2.9925742,3.361189,311.9529623235469,356.5563464028104,0.0,5506.413814817482,13.12234895167927,3.88557535051171,362.2213337661785,546.6569503318694,0.05860239,0.23483814,0.0035450283123297003,0.0017602738368521689,0.03322309,0.011565699,0.0,0.047022864,1038.535221357716,938.0513628068051,0.7093809,0.24978477,[126.04801829]
amb_leavestexture_cozy000_.wav,amb,leaves,texture,cozy,000,-582.3194,178.53848,73.976715,23.445835,-86.03286,25.400846,0.9443412,7.1928787,-4.269646,6.7968183,9.467392,5.247851,-15.414548,6.9295473,0.18137637,3.97747,-5.3686323,5.3168054,3.7964294,3.7200754,-6.1614404,5.034693,0.98273087,3.5001094,-4.331326,4.5356393,3927.6671894322762,1166.9798051720122,0.0,7240.777208406529,13.212059311622419,5.62275497783897,6887.867341834128,2518.5852691724017,0.080088295,0.23017906,0.12055358055177112,0.03236807606257874,0.0018913165,0.0017986987,0.0,0.006673394,3482.7134847292405,1078.1893178880791,0.58986235,0.2500924,[143.5546875]
amb_leavestexture_cozy001_.wav,amb,leaves,texture,cozy,001,-563.513,184.91254,78.531685,25.732151,-85.87532,25.006897,-0.62187356,6.7588944,-5.758259,7.4873805,10.4109335,5.595291,-15.156402,6.868543,-0.37413475,3.9226186,-6.73161,5.5337954,3.964088,3.7128656,-6.340499,4.8888607,0.9723361,3.5200481,-4.5945773,4.6020417,3821.963063550626,1164.2369729975383,0.0,7291.87343237553,13.205334999036323,5.734661112554137,6680.866958659741,2499.9435650683777,0.078130454,0.23066004,0.11646705232459129,0.031830538136036694,0.0020094651,0.0013480976,0.0,0.004310493,3429.4305541244353,1059.4894126866484,0.575342,0.25357723,[123.046875]
amb_leavestexture_mystic002_.wav,amb,leaves,texture,mystic,002,-594.2328,190.27498,65.68524,23.490345,-85.75883,25.623653,5.491449,6.54156,-2.9392614,7.37864,6.5924783,5.8003683,-16.63872,6.8417344,1.5918398,4.2753215,-4.608622,5.44685,3.189072,4.120892,-6.78454,4.9607716,1.5848006,3.507976,-3.4125514,4.445142,4153.883598164185,1272.2762231245013,0.0,7262.921980303485,13.290702301725283,5.664848501129833,7270.653764688352,2730.2159381047577,0.08442601,0.22938417,0.1297537572377384,0.0349344467405015,0.0016727574,0.0013359698,0.0,0.004018944,3554.7722204681554,1124.1137761932375,0.5780146,0.25208876,[120.18531977]
amb_leavestexture_mystic003_.wav,amb,leaves,texture,mystic,003,-535.36395,178.09457,94.07249,28.627201,-82.226906,24.678415,-8.092966,7.9470534,-11.503061,7.9892316,12.766298,5.398026,-11.287269,7.4733415,-0.8693654,3.852643,-9.711302,5.645602,3.0957656,4.0136995,-5.0852284,4.674438,1.9060841,3.5751529,-5.218182,4.475796,3460.6206676219563,1045.5829165823654,0.0,6710.621526409354,13.413212686891173,5.72335138622366,6069.13623446015,2277.3730818576532,0.07253597,0.23176216,0.10049213960320164,0.02810717438008222,0.002938425,0.0025637734,0.0,0.009100013,3325.259591474061,1020.0320690034953,0.5578364,0.2574166,[126.04801829]
amb_leavestexture_tense004_.wav,amb,leaves,texture,tense,004,-580.5881,186.5093,67.03492,19.64317,-87.20996,25.87778,4.442662,7.764715,-3.4881732,5.870906,6.9752784,4.462268,-17.1002,7.985836,0.8608342,4.3917394,-4.8229423,4.6452794,3.2558928,3.6100383,-6.707147,5.554132,1.8354527,3.6180947,-3.441316,4.2720613,4074.7285535123797,1145.602852044722,0.0,7067.645445543499,13.250690306028504,5.746056204214723,7110.621580700783,2448.764059269919,0.08147328,0.22967,0.12792303516689374,0.03390952275047114,0.0017592199,0.0012894056,0.0,0.004891429,3511.4648824780534,1073.6579744797202,0.58832324,0.25025445,[143.5546875]
amb_leavestexture_tense005_.wav,amb,leaves,texture,tense,005,-549.80457,163.1079,130.3194,44.433563,-56.79974,20.312178,-15.418269,9.091585,-27.772522,13.487354,3.2975137,6.2447352,-7.071759,7.637252,4.230649,5.0192676,-7.3072314,4.4879684,0.5399234,4.5308895,-5.8721304,5.5011153,1.1493326,3.6723328,-4.1172314,4.729417,2737.279974094399,1058.2827722774869,0.0,6854.0977406887205,13.424589056952902,5.393848017023711,4894.6378868996935,2481.431206503135,0.06701329,0.23316212,0.06720253427282016,0.020761072206857075,0.003023516,0.0025908619,0.0,0.008890316,3154.9826819147734,1069.3492348352954,0.52231497,0.26504648,[123.046875]
amb_raintexture_cozy000_.wav,amb,rain,texture,cozy,000,-581.6029,43.903206,191.57587,49.953842,103.585,24.975626,31.587797,9.208431,7.5908237,5.283969,13.603923,4.767834,17.651052,5.6530495,10.484643,4.0266705,3.0658429,3.5414307,2.7383664,3.1992435,4.9040003,3.4123414,4.0951104,3.3695214,1.8507873,3.0925987,212.26391868172433,198.13422005352655,0.0,4360.388434645096,13.724603945177062,4.527674634702229,353.03057383544655,440.9845365790029,0.04788602,0.2128777,0.004010151081863285,0.0016923827465484128,0.025095195,0.009765735,0.0,0.043946125,637.7040406851003,421.826526924952,0.7049527,0.24183293,0.0
amb_raintexture_cozy001_.wav,amb,rain,texture,cozy,001,-530.1455,40.97184,181.90477,47.636322,105.91645,25.740986,39.122684,10.252912,11.5281105,5.959243,13.360084,4.681313,18.122936,5.6309752,13.311591,4.369739,5.291752,3.5570962,2.5948844,3.2213664,4.293792,3.3737411,4.8328986,3.4332752,2.90055,3.0876951,175.8252048713755,151.04005373146018,0.0,3682.0542320060545,14.046769168404692,4.491936140686631,298.1648269535557,334.5135285361616,0.04746738,0.21250616,0.003647843164277839,0.0015850733572881507,0.048153974,0.018832438,0.0,0.0857583,491.9274360128435,353.3148957931052,0.70688826,0.24369095,0.0
