id,filename,category,synth,type,mood,index,x,y,z,cluster_id,color_hex
0,amb_brooktexture_cozy000_.wav,amb,brook,texture,cozy,0,-5.338461903065309,-7.1967470853724045,-20.395733171342947,9,#9544e5
1,amb_brooktexture_cozy001_.wav,amb,brook,texture,cozy,1,-7.076649422270469,-6.408774450630893,-20.88181810015018,9,#9544e5
2,amb_brooktexture_mystic002_.wav,amb,brook,texture,mystic,2,-2.93061761997437,-9.423038626937489,-21.70852962154971,9,#9544e5
3,amb_brooktexture_mystic003_.wav,amb,brook,texture,mystic,3,1.1469672493848941,-12.06835268788762,-22.34723152239549,9,#9544e5
4,amb_brooktexture_tense004_.wav,amb,brook,texture,tense,4,-7.2575696251892,-6.367881666968605,-20.328529221637343,9,#9544e5
5,amb_brooktexture_tense005_.wav,amb,brook,texture,tense,5,-6.694281547020924,-6.456604772895109,-20.260134960104928,9,#9544e5
6,amb_firetexture_cozy000_.wav,amb,fire,texture,cozy,0,5.0772490925697635,47.59623767795333,-2.7513628013352824,2,#e5e544
7,amb_firetexture_cozy001_.wav,amb,fire,texture,cozy,1,2.9201208403211902,45.003316961130665,-2.992750202298634,2,#e5e544
8,amb_firetexture_mystic002_.wav,amb,fire,texture,mystic,2,3.7379702724314305,50.0,-0.6202275731153971,2,#e5e544
9,amb_firetexture_mystic003_.wav,amb,fire,texture,mystic,3,4.113585535322097,48.05949278587401,-1.9398352831755155,2,#e5e544
10,amb_firetexture_tense004_.wav,amb,fire,texture,tense,4,3.9977284632162546,47.57334169650259,-2.9284646252713027,2,#e5e544
11,amb_firetexture_tense005_.wav,amb,fire,texture,tense,5,4.875291299116928,45.436021544641825,-4.663824550567962,2,#e5e544
12,amb_leavestexture_cozy000_.wav,amb,leaves,texture,cozy,0,28.745844035930546,-2.361485736299916,-4.0027781286562645,1,#e59544
13,amb_leavestexture_cozy001_.wav,amb,leaves,texture,cozy,1,28.35722038865338,-2.5295331263569762,-3.898592550863192,1,#e59544
